Year	LowFreq_Hz	HighFreq_Hz	PeakFreq_Hz	DeltaFreq_Hz	DeltaTime_s	PFC_Num_Inf_Pts
Pre-Lockdown	3748.1	16806	8062.5	13057.9	1.639	210
Pre-Lockdown	8200	16800	9668	8600	0.545	152
Pre-Lockdown	8044.2	16798.1	12304.7	8753.9	0.5	112
Lockdown	8786.4	16759.3	11062.5	7972.9	0.514	47
Lockdown	4515.3	16759.3	9937.5	12244.1	0.754	31
Pre-Lockdown	3784.2	16758.6	7324.2	12974.4	1.028	173
Lockdown	7756.1	16756.1	9750	9000	1.16	53
Pre-Lockdown	4160.5	16751.6	7125	12591.1	0.542	64
Lockdown	5820.6	16744.2	8062.5	10923.6	1.076	87
Lockdown	8786.1	16735.3	12093.8	7949.3	0.659	20
Lockdown	9356.6	16735.3	12187.5	7378.8	0.638	39
Lockdown	4784.1	16704.3	5625	11920.3	0.911	57
Lockdown	8148.6	16701.2	12000	8552.6	0.637	57
Lockdown	6377.6	16699.3	10500	10321.7	0.641	51
Lockdown	3787.4	16624.6	7031.2	12837.2	1.033	62
Pre-Lockdown	11343.2	16621.7	15904	5278.5	0.33	65
Lockdown	6351.8	16621.2	11906.2	10269.4	0.809	37
Pre-Lockdown	4615.4	16615.4	5812.5	12000	0.417	80
Pre-Lockdown	5533.8	16601.5	7875	11067.7	0.839	371
Pre-Lockdown	2459	16598.4	9277.3	14139.3	0.78	394
Lockdown	5101.4	16596.5	8437.5	11495.1	1.517	53
Lockdown	5505.8	16587.2	7593.8	11081.4	0.642	25
Lockdown	8215.5	16583.2	11531.2	8367.7	0.443	27
Pre-Lockdown	3871	16559.4	9277.3	12688.4	1.752	859
Pre-Lockdown	2983.1	16542.4	4593.8	13559.3	1.595	41
Pre-Lockdown	7884.6	16538.5	8789.1	8653.8	0.903	268
Lockdown	6430.8	16518.4	7875	10087.6	1.053	110
Lockdown	7949.3	16507.1	11718.8	8557.8	0.651	12
Pre-Lockdown	4595.1	16488.3	10253.9	11893.2	1.098	533
Pre-Lockdown	3784.2	16488.3	12695.3	12704.1	1.361	332
Pre-Lockdown	4595.1	16488.3	13671.9	11893.2	1.863	831
Lockdown	5597.3	16469.8	9656.2	10872.5	0.639	43
Lockdown	6299	16465.1	9750	10166.1	1.585	88
Pre-Lockdown	5918.9	16461.9	9000	10543	2.287	610
Pre-Lockdown	4329.2	16451.1	11625	12121.8	0.407	162
